parameter,value,success_rate,final_error_mean,min_error_mean,mean_error_mean,max_overshoot_mean,oscillation_index_mean,control_energy_mean,settling_time_mean
joint_damping,0.4,0.25,0.07183357682242551,0.07066998213709651,0.08419415784318901,0.0011729554205110206,0.9300766283524902,160.34339075479923,0.9
joint_damping,0.8,0.25,0.07137025607572411,0.07026499685927462,0.08376610797775175,0.0011484042344779774,0.9281609195402297,160.13677801490192,0.9133333333333334
joint_damping,1.8,0.25,0.07054476737458883,0.06924335225490615,0.08269788270078857,0.0010872042529696559,0.9181034482758618,159.56268475619814,0.9400000000000001
joint_damping,3.2,0.25,0.06920457179610114,0.06801997739260683,0.0812169423373444,0.00118788049257057,0.9090038314176244,158.7239447141757,0.9333333333333332
joint_damping,5.5,0.25,0.06645685487443125,0.06540984900404981,0.07841742288835997,0.0009833447802146944,0.9219348659003831,157.2920856115355,0.9066666666666666
actuator_gain,18.0,0.8333333333333334,0.022770024278666087,0.022211685627001123,0.046375087016665685,0.0014284775150580464,0.793103448275862,153.2029405932286,1.1159999999999999
actuator_gain,28.0,0.6666666666666666,0.04143779879371642,0.03986988494915938,0.05661086023056516,0.0006144816721197904,0.871647509578544,152.1768845013188,1.0225
actuator_gain,38.0,0.25,0.07054476737458883,0.06924335225490615,0.08269788270078857,0.0010872042529696559,0.9181034482758618,159.56268475619814,0.9400000000000001
actuator_gain,52.0,0.25,0.09425870338142243,0.09248058363783684,0.10407528517455157,0.002796444766404716,0.9808429118773944,180.0024934548546,1.5333333333333334
actuator_gain,70.0,0.3333333333333333,0.08747405476161983,0.08360073123011413,0.09994207113534366,0.004210900640708825,0.9851532567049807,214.87543863120996,1.4700000000000002
sensor_noise_std,0.0,0.25,0.07054476737458883,0.06924335225490615,0.08269788270078857,0.0010872042529696559,0.9181034482758618,159.56268475619814,0.9400000000000001
sensor_noise_std,0.002,0.3333333333333333,0.06809518880705362,0.06598488797294881,0.07909139453552924,0.0014475338487399969,0.8472222222222222,162.65019954101908,1.0350000000000001
sensor_noise_std,0.006,0.3333333333333333,0.0678029099507255,0.06570110867622096,0.07887903417569878,0.0014455894041852946,0.8443486590038313,162.76508944150964,1.0350000000000001
sensor_noise_std,0.012,0.3333333333333333,0.06720270148761982,0.06512383298457615,0.07841235836066926,0.0014426736836188326,0.8386015325670497,163.0112951729245,1.04
sensor_noise_std,0.02,0.3333333333333333,0.06636685042239253,0.06426692542210478,0.07771964797178259,0.0014407235743577225,0.8510536398467433,163.4656617107395,1.04
control_dt,0.01,0.6666666666666666,0.035096127996296224,0.03481121644251118,0.04942227570359162,0.000526739029869959,0.8123209169054442,144.1381345375646,0.6062500000000001
control_dt,0.02,0.25,0.07054476737458883,0.06924335225490615,0.08269788270078857,0.0010872042529696559,0.9181034482758618,159.56268475619814,0.9400000000000001
control_dt,0.04,0.25,0.08269929269729719,0.07740597872858664,0.09766071132327109,0.009051166596082303,0.9728682170542632,177.53510346735507,1.7066666666666668
control_dt,0.06,0.16666666666666666,0.09555400308082186,0.06627183593093804,0.09374161835330451,0.01890068914283062,0.9736842105263156,183.10495645847337,2.61
control_delay_steps,0,0.25,0.07054476737458883,0.06924335225490615,0.08269788270078857,0.0010872042529696559,0.9181034482758618,159.56268475619814,0.9400000000000001
control_delay_steps,1,0.25,0.07410447492609996,0.07060763565437973,0.08441200271360287,0.0003441827776108723,0.9022988505747126,159.68142446952183,0.96
control_delay_steps,2,0.25,0.07412237310243115,0.07062914956599443,0.08457496098619514,0.0003832044275675778,0.8994252873563218,159.9733616814212,0.96
control_delay_steps,4,0.25,0.07460514076465796,0.07110139730897687,0.08554988942019244,0.0002900118771032509,0.8884099616858236,160.30883703779287,0.9666666666666668
control_delay_steps,6,0.25,0.07507007166448508,0.07158795275226346,0.08652108492985404,0.0002133719520025478,0.8864942528735632,160.66092472372753,1.0266666666666666
friction_loss,0.0,0.25,0.07055336046483321,0.06925222599373886,0.08270654109100031,0.0010878008199788406,0.9181034482758618,159.56851916513253,0.9400000000000001
friction_loss,0.01,0.25,0.07054906356739325,0.06924778865755409,0.08270221154213606,0.0010875025361914575,0.9181034482758618,159.56560145914713,0.9400000000000001
friction_loss,0.02,0.25,0.07054476737458883,0.06924335225490615,0.08269788270078857,0.0010872042529696559,0.9181034482758618,159.56268475619814,0.9400000000000001
friction_loss,0.05,0.25,0.07053188578692741,0.06923005141221639,0.082684903098476,0.0010863094066988499,0.9181034482758618,159.55394076580913,0.9400000000000001
friction_loss,0.1,0.25,0.0705104328038018,0.06920790428825581,0.08266328848734696,0.0010848180075703196,0.9181034482758618,159.53938606745692,0.9400000000000001
